Iteration;Stock price;Amount available
834;227.4363633624;21086
835;270.1560930909;21085
836;351.3568801389;21080
837;300.6657947525;21080
838;330.2431949184;21081
839;287.3090837990;21081
840;314.4381011291;21082
841;371.3281610866;21069
842;450.3427654494;21068
843;405.1114415175;21068
844;313.3501435404;21068
845;250.2387172861;21068
846;275.3357648463;21119
847;252.9829357666;21119
848;224.9267113753;21119
849;246.6863983410;21121
850;296.2518399858;21120
851;361.0442462267;21100
852;310.8635273138;21100
853;264.4567773512;21100
854;236.6861610328;21100
855;260.9308946129;21101
856;340.8927648072;21078
857;319.3656176985;21078
858;273.7248433378;21078
859;328.7294830761;21077
860;279.9164422984;21077
861;288.5101549220;21086
862;342.7231330669;21085
863;298.3010648180;21085
864;253.6179947914;21085
865;331.3695185372;21084
866;386.7123676672;21074
867;321.4387811193;21074
868;298.7653859276;21074
869;328.6714341153;21075
870;259.4576609430;21075
871;285.1937781640;21097
872;222.4957119751;21097
873;179.9036299884;21097
874;153.7727898257;21097
875;168.8768495286;21098
876;203.9900758024;21089
877;156.8235627694;21089
878;134.0915707598;21089
879;158.6949066690;21086
880;144.7231500159;21086
881;174.2080915981;21089
882;149.0248898621;21089
883;126.6134829754;21089
884;112.8523214464;21089
885;135.4579245065;21088
886;163.1118176300;21082
887;129.9233522598;21082
888;108.3625467601;21082
889;119.6993936206;21085
890;143.7728782582;21084
891;172.3362043517;21070
892;144.3161161026;21070
893;119.4320893441;21070
894;107.5960829874;21070
895;118.3394579100;21071
896;142.6806302168;21065
897;161.0516534821;21064
898;191.1634455090;21045
899;206.1036190347;21043
900;159.1123582241;21043
901;174.4854482222;21055
902;148.9545514193;21055
903;139.9101963072;21055
904;118.7660004939;21055
905;142.6319717486;21054
906;154.4747724411;21046
907;158.6145012254;21047
908;190.2781911847;21046
909;209.4021755119;21048
910;180.9609380897;21048
911;199.0504588907;21052
912;174.5405163477;21052
913;148.2673415623;21052
914;140.3213162162;21052
915;156.3660601148;21053
916;186.3342189993;21052
917;159.3024617016;21052
918;166.2880161715;21061
919;199.6282471394;21059
920;178.9938046892;21059
921;186.2842661360;21062
922;159.2725420825;21062
923;136.6667960315;21062
924;119.8960774268;21062
925;136.4095173620;21061
926;162.1751974155;21060
927;150.7611334777;21060
928;165.0460634025;21066
929;168.9156422831;21068
