Iterations;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Agent 6;Agent 7;Agent 8;Agent 9;Agent 10
157;516.761411416726;554.7099162555238;648.2628322658632;644.0263596842917;799.5239466621614;652.9209524859015;646.9591442800895;802.2894059051038;649.2180666665276;644.8211615307501
158;554.7099162555238;550.8422029660172;647.6863185491106;649.2762369289483;649.9389101475417;651.4102568635038;651.9680461553747;720.1969465098778;802.320831380276;805.3268709584822
159;267.39533947398985;602.0523991227684;654.408459128428;649.9581505310787;805.5239038308207;652.2198774313568;646.8741651480259;802.1163852128187;648.8466774144043;650.848246370013
160;358.98902795373056;463.0978369839674;646.8741651480259;651.1171680618704;801.9296901563714;655.1174877135838;651.3311769187135;651.8440589698106;653.5507241298155;799.3718697861517
161;181.8614027689299;553.4414504383243;654.1670846429986;656.1650650393228;798.8997284069529;651.8885704522762;648.3302954253353;802.2633064628353;648.8215964082196;656.3441688407555
162;351.0903446942451;375.2576484889902;657.1104883511931;659.3789782218429;802.1920192921538;654.6672712463247;651.5698689681753;798.7766421659414;645.9730414532627;653.6254420780468
163;472.9663748639861;469.9068235596231;660.3268376822767;656.5363109247369;798.7380024491664;651.7581939401856;654.8071280355637;802.3724841216435;651.7183700047256;656.6036075548118
164;530.3832806450129;547.0621761125742;656.6648437818346;659.3284827635396;802.689527137375;648.8427261347099;657.8357202612218;798.8391853053307;654.7324891599521;653.35467548391
165;254.36798714357067;269.0124079776082;659.5763965216929;656.1532509974606;798.7985542315037;653.171103408722;654.9572930381835;802.4176798887236;651.9814267416384;656.3162415890757
166;468.7878486732169;459.9831270085944;656.1125079175662;659.2179308571298;802.4484450528773;650.3856177080348;657.689493238866;798.6066812585483;655.2010026004522;653.4774231329134
167;228.4282758689847;211.4420539719796;653.1255022822086;656.1776707853252;798.7007327320133;653.2325892715954;660.862211276951;802.7367766473849;658.4863290458937;656.3057403725813
